service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
8,1,1,1,1,1,0,0,20250520,20250818
10,0,0,0,0,1,0,0,20250520,20250818
13,1,1,1,1,1,0,0,20250520,20250818
14,0,0,0,0,0,1,0,20250520,20250818
15,1,1,1,1,1,0,0,20250520,20250818
19,0,0,1,0,0,0,0,20250520,20250818
20,0,0,0,0,0,0,1,20250520,20250818
21,0,0,0,0,0,0,1,20250520,20250818
23,1,0,0,0,0,0,0,20250520,20250818
25,0,0,0,1,0,0,0,20250520,20250818
28,1,1,1,1,1,0,0,20250520,20250818
29,1,1,1,1,1,0,0,20250520,20250818
32,1,1,1,1,1,0,0,20250520,20250818
35,0,0,0,1,0,0,0,20250520,20250818
36,0,0,0,0,1,0,0,20250520,20250818
38,1,1,1,1,0,0,0,20250520,20250818
39,0,1,1,1,1,0,0,20250520,20250818
40,1,1,1,0,1,0,0,20250520,20250818
41,1,0,1,1,1,0,0,20250520,20250818
42,1,1,0,1,1,0,0,20250520,20250818
53,1,1,1,0,0,0,0,20250520,20250818
61,1,0,1,0,1,0,0,20250520,20250818
62,0,1,0,1,0,0,0,20250520,20250818
71,1,0,0,0,0,0,0,20250520,20250818
72,0,1,0,0,0,0,0,20250520,20250818
73,0,0,1,0,0,0,0,20250520,20250818
80,1,0,0,0,1,0,0,20250520,20250818
134,1,0,0,0,0,0,0,20250520,20250818
143,1,1,1,1,0,0,0,20250520,20250818
164,0,0,0,0,0,1,0,20250520,20250818
165,0,0,0,0,0,0,1,20250520,20250818
178,0,1,0,1,0,0,0,20250520,20250818
182,0,1,0,1,0,0,0,20250520,20250818
183,0,0,0,0,0,1,1,20250520,20250818
184,0,0,0,0,0,0,1,20250520,20250818
197,0,0,0,0,1,0,0,20250520,20250818
202,0,0,0,1,0,0,0,20250520,20250818
203,0,1,0,0,1,0,0,20250520,20250818
204,0,1,0,0,0,0,0,20250520,20250818
205,0,0,0,0,0,0,1,20250520,20250818
206,1,0,0,1,0,0,0,20250520,20250818
207,1,1,1,1,1,0,1,20250520,20250818
208,0,0,0,0,0,1,0,20250520,20250818
209,0,0,0,0,1,0,0,20250520,20250818
210,1,1,1,1,1,0,0,20250520,20250818
211,0,0,0,0,0,0,1,20250520,20250818
212,0,0,0,1,0,0,0,20250520,20250818
213,0,1,0,0,0,0,0,20250520,20250818
215,0,0,0,0,0,0,1,20250520,20250818
216,0,0,0,0,0,1,0,20250520,20250818
217,0,0,1,0,1,0,0,20250520,20250818
218,1,0,0,1,0,0,0,20250520,20250818
219,1,1,0,1,0,1,1,20250520,20250818
220,0,1,1,0,1,1,1,20250520,20250818
221,0,0,0,0,0,1,0,20250520,20250818
223,0,0,0,0,0,0,0,20250520,20250818
224,1,0,0,0,1,0,0,20250520,20250818
225,0,0,1,0,0,0,0,20250520,20250818
226,0,0,0,0,1,0,0,20250520,20250818
227,0,0,0,0,0,0,1,20250520,20250818
228,0,0,0,0,0,0,1,20250520,20250818
229,0,1,0,0,0,0,0,20250520,20250818
230,0,0,0,0,0,1,0,20250520,20250818
231,0,0,1,0,0,0,0,20250520,20250818
232,0,0,0,1,0,0,0,20250520,20250818
233,0,0,1,0,0,0,0,20250520,20250818
234,0,0,0,1,0,0,0,20250520,20250818
237,0,0,0,0,1,0,0,20250520,20250818
238,1,0,1,0,0,0,0,20250520,20250818
239,0,0,1,0,1,0,0,20250520,20250818
240,1,0,0,0,0,0,0,20250520,20250818
241,0,1,0,0,1,0,0,20250520,20250818
242,1,0,0,1,0,0,0,20250520,20250818
243,0,1,0,1,0,1,0,20250520,20250818
244,0,1,0,1,0,1,0,20250520,20250818
245,1,0,1,0,1,0,0,20250520,20250818
246,0,0,0,0,0,0,1,20250520,20250818
247,0,0,0,0,0,0,1,20250520,20250818
248,1,0,0,1,0,0,0,20250520,20250818
249,0,1,0,0,1,0,0,20250520,20250818
250,1,1,1,1,1,0,0,20250520,20250818
252,1,1,1,1,1,1,0,20250520,20250818
254,0,0,0,0,0,0,1,20250520,20250818
255,0,0,0,0,0,0,1,20250520,20250818
256,0,0,0,0,1,0,0,20250520,20250818
257,0,0,0,0,1,0,0,20250520,20250818
262,0,0,1,0,1,0,0,20250520,20250818
263,1,0,1,0,1,0,0,20250520,20250818
264,0,1,0,0,0,0,0,20250520,20250818
265,0,0,0,1,0,0,0,20250520,20250818
266,0,1,0,0,0,1,0,20250520,20250818
267,0,1,0,0,0,0,0,20250520,20250818
268,1,0,0,0,0,0,0,20250520,20250818
269,0,0,0,0,0,1,0,20250520,20250818
285,0,0,0,0,1,0,0,20250520,20250818
286,0,0,0,0,1,0,0,20250520,20250818
287,0,0,0,0,0,1,0,20250520,20250818
288,0,0,0,0,0,0,1,20250520,20250818
336,1,1,1,1,1,0,0,20250520,20250818
337,1,1,1,1,1,0,0,20250520,20250818
338,1,0,1,0,1,0,0,20250520,20250818
339,1,0,0,0,0,0,0,20250520,20250818
340,0,0,1,0,0,0,0,20250520,20250818
341,0,0,0,0,1,0,0,20250520,20250818
342,0,1,0,1,0,1,0,20250520,20250818
343,0,1,0,1,0,1,0,20250520,20250818
344,1,0,0,0,0,0,0,20250520,20250818
345,1,0,0,0,0,0,0,20250520,20250818
346,0,0,0,0,1,0,0,20250520,20250818
347,0,0,0,0,1,0,0,20250520,20250818
348,0,0,0,0,0,1,0,20250520,20250818
349,0,0,0,0,0,1,0,20250520,20250818
350,1,0,1,0,1,0,0,20250520,20250818
351,1,0,1,0,1,0,0,20250520,20250818
352,1,1,1,1,1,0,0,20250520,20250818
353,1,1,1,1,1,0,0,20250520,20250818
357,1,1,1,1,1,0,0,20250520,20250818
359,1,1,1,1,1,0,0,20250520,20250818
360,1,1,1,1,1,0,0,20250520,20250818
361,1,1,1,1,1,0,0,20250520,20250818
364,0,0,0,0,1,0,0,20250520,20250818
365,0,0,0,0,1,0,0,20250520,20250818
366,0,0,0,0,1,0,0,20250520,20250818
367,0,0,0,0,1,0,0,20250520,20250818
370,0,0,0,0,0,1,0,20250520,20250818
371,0,0,0,0,0,1,0,20250520,20250818
372,0,0,0,0,0,1,0,20250520,20250818
373,0,0,0,0,0,1,0,20250520,20250818
376,0,0,0,0,0,0,1,20250520,20250818
377,0,0,0,0,0,0,1,20250520,20250818
378,0,0,0,0,0,0,1,20250520,20250818
379,0,0,0,0,0,0,1,20250520,20250818
390,0,0,0,0,0,1,0,20250520,20250818
392,0,0,0,0,0,1,0,20250520,20250818
412,0,0,0,0,0,0,1,20250520,20250818
413,0,0,0,1,0,0,0,20250520,20250818
414,1,0,1,0,1,0,0,20250520,20250818
415,1,0,1,0,1,0,0,20250520,20250818
421,1,1,1,1,1,0,0,20250520,20250818
444,0,1,0,1,0,0,0,20250520,20250818
473,1,1,1,1,1,0,0,20250520,20250818
474,1,1,1,1,1,0,0,20250520,20250818
475,0,0,0,1,0,0,0,20250520,20250818
476,0,0,0,0,1,0,0,20250520,20250818
477,0,0,0,0,0,1,0,20250520,20250818
478,1,1,1,1,1,0,0,20250520,20250818
479,0,0,0,0,0,1,0,20250520,20250818
480,0,0,0,0,1,0,0,20250520,20250818
482,0,0,0,0,0,1,0,20250520,20250818
487,0,0,0,0,0,0,1,20250520,20250818
488,1,1,1,1,1,0,0,20250520,20250818
493,1,1,1,1,1,0,0,20250520,20250818
498,0,0,0,0,0,0,1,20250520,20250818
499,0,0,1,0,0,0,0,20250520,20250818
500,0,1,0,0,0,0,0,20250520,20250818
502,1,1,0,1,1,0,0,20250520,20250818
503,1,0,1,1,1,0,0,20250520,20250818
595,0,0,0,0,0,1,0,20250520,20250818
610,1,1,1,1,1,0,0,20250520,20250818
611,0,0,0,0,1,0,0,20250520,20250818
612,0,0,0,0,0,1,0,20250520,20250818
613,0,0,0,0,0,0,1,20250520,20250818
614,0,0,0,0,0,0,1,20250520,20250818
637,0,0,0,0,0,1,0,20250520,20250818
640,0,0,0,0,0,1,0,20250520,20250818
648,0,0,0,0,0,1,0,20250520,20250818
690,0,0,0,0,0,1,0,20250520,20250818
712,1,1,1,1,1,0,0,20250520,20250818
716,0,1,1,1,0,0,0,20250520,20250818
717,1,0,0,0,0,0,0,20250520,20250818
718,1,0,1,0,0,0,0,20250520,20250818
719,1,0,1,0,1,0,0,20250520,20250818
738,1,1,0,1,0,0,0,20250520,20250818
739,0,0,1,0,1,0,0,20250520,20250818
762,1,1,0,1,0,0,0,20250520,20250818
763,1,1,1,1,1,0,0,20250520,20250818
764,0,0,0,0,1,0,0,20250520,20250818
765,0,0,0,0,0,1,0,20250520,20250818
766,0,0,0,0,0,0,1,20250520,20250818
776,0,0,0,0,0,0,0,20250520,20250818
777,0,0,0,0,0,0,0,20250520,20250818
778,0,0,0,0,0,0,0,20250520,20250818
779,0,0,0,0,0,0,0,20250520,20250818
780,0,0,0,0,0,0,0,20250520,20250818
781,0,0,0,0,0,0,0,20250520,20250818
782,0,0,0,0,0,0,0,20250520,20250818
783,0,0,0,0,0,0,0,20250520,20250818
784,0,0,0,0,0,0,0,20250520,20250818
812,0,0,0,0,0,1,0,20250520,20250818
